available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/74/56/5674/images/5532/5532.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10600kf-box-bx8070110600kf/,15 260,28bit.ru,5675,Процессор Intel Core i5 10600KF BOX BX8070110600KF
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/34/24/12434/images/27630/27630.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-11500-oem-cm8070804496809/,15 380,28bit.ru,12729,Процессор Intel Core i5 11500 OEM CM8070804496809
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/33/25/12533/images/27720/27720.170x0.png,https://28bit.ru/protsessor-intel-core-i5-12400-box-bx8071512400/,15 400,28bit.ru,12828,Процессор Intel Core i5 12400 BOX BX8071512400
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/45/56/5645/images/13732/13732.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700-oem-cm8070104282327srh6y/,15 460,28bit.ru,5646,Процессор Intel Core i7 10700 OEM CM8070104282327
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/28/59/5928/images/10261/10261.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700f-oem-cm8070104282329/,15 460,28bit.ru,5929,Процессор Intel Core i7 10700F OEM CM8070104282329
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/65/56/5665/images/10263/10263.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10600kf-oem-cm8070104282136/,15 550,28bit.ru,5666,Процессор Intel Core i5 10600KF OEM CM8070104282136
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/37/56/5637/images/10238/10238.170x0.png,https://28bit.ru/protsessor-intel-core-i5-10600k-oem-cm8070104282134srh6r/,15 560,28bit.ru,5638,Процессор Intel Core i5 10600K OEM CM8070104282134
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/48/32/13248/images/28394/28394.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-5700g-oem-100-000000263/,15 620,28bit.ru,13569,Процессор AMD Ryzen 7 5700G OEM 100-000000263
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/47/12/11247/images/13457/13457.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-5700g-box-100-100000263box/,15 880,28bit.ru,11538,Процессор AMD Ryzen 7 5700G BOX 100-100000263BOX
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/46/56/5646/images/10246/10246.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10600-box-bx8070110600/,15 910,28bit.ru,5647,Процессор Intel Core i5 10600 BOX BX8070110600
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/23/93/9323/images/11644/11644.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-10600k-box-bx8070110600k/,15 970,28bit.ru,9352,Процессор Intel Core i5 10600K BOX BX8070110600K
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/17/26/12617/images/27802/27802.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-12500-oem-cm8071504647605/,15 980,28bit.ru,12912,Процессор Intel Core i5 12500 OEM CM8071504647605
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/92/83/8392/images/10794/10794.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700f-box-bx8070110700f/,16 020,28bit.ru,8387,Процессор Intel Core i7 10700F BOX BX8070110700F
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/04/90/19004/images/31684/31684.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-13400f-oem/,16 390,28bit.ru,19639,Процессор Intel Core i5 13400F OEM CM8071505093005
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/05/90/19005/images/31685/31685.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-13400-oem/,16 710,28bit.ru,19640,Процессор Intel Core i5 13400 OEM CM8071504821106
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/79/86/18679/images/31361/31361.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-12400t-oem-cm8071504650506/,18 190,28bit.ru,19308,Процессор Intel Core i5 12400T OEM CM8071504650506
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/21/25/12521/images/27708/27708.170x0.png,https://28bit.ru/protsessor-intel-core-i5-12500-box-bx8071512500/,18 220,28bit.ru,12816,Процессор Intel Core i5 12500 BOX BX8071512500
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/60/56/5660/images/13751/13751.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700kf-box-bx8070110700kf/,18 230,28bit.ru,5661,Процессор Intel Core i7 10700KF BOX BX8070110700KF
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/91/92/9291/images/26747/26747.170x0.jpg,https://28bit.ru/protsessor-intel-core-i5-11600k-oem-cm8070804491414-/,18 570,28bit.ru,9320,Процессор Intel Core i5 11600K OEM CM8070804491414
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/25/92/9225/images/13854/13854.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-11600kf-box-bx8070811600kf/,18 690,28bit.ru,9254,Процессор Intel Core i5 11600KF BOX BX8070811600KF